GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaRecordBuilder,9,55,0,4,1,14,1,8,1,6
Jillion,org.jcvi.jillion.fasta.qual,DefaultQualityFastaFileDataStore,16,27,0,0,5,6,3,4,3,4
Jillion,org.jcvi.jillion.trace.fastq,SplitFastqWriter.RolloverSplitFastqWriter,28,89,3,9,7,28,5,8,2,5
Jillion,org.jcvi.jillion.trace.fastq,FastqFileDataStoreBuilder,76,161,8,16,13,42,10,15,2,10
Jillion,org.jcvi.jillion.trace.fastq,IndexedFastqFileDataStore.MementoedFastqDataStoreBuilderVisitor,12,69,1,5,1,16,1,5,0,3
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.ShortWidthOffsetMemento,0,13,0,0,0,4,0,2,0,2
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.LargeFastqFileIterator,6,18,0,0,2,5,0,2,0,2
Jillion,org.jcvi.jillion.trace.fastq,TmpDirSortedFastqWriter,88,227,11,17,3,60,7,14,0,7
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.new AbstractFastqVisitor() {...},0,29,0,2,0,4,0,3,0,2
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.new StreamingIterator() {...},35,0,0,0,8,0,5,0,5,0
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.ParserState,0,46,0,2,0,14,0,8,0,7
Jillion,org.jcvi.jillion.trace.fastq,DefaultFastqFileDataStore.DefaultFastqFileDataStoreBuilderVisitor2.new AbstractFastqRecordVisitor() {...},0,28,0,4,0,4,0,4,0,2
Jillion,org.jcvi.jillion.trace.fastq,CommentedFastqRecord,30,16,0,0,4,5,2,3,2,3
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.NoLambdaFastqIdIterator.new FastqVisitor() {...},4,31,2,4,2,9,2,5,0,4
Jillion,org.jcvi.jillion.trace.fastq,IlluminaUtil,68,162,8,28,22,41,9,24,5,10
Jillion,org.jcvi.jillion.trace.fastq,SplitFastqWriter,3,20,0,0,2,3,1,3,1,3
Jillion,org.jcvi.jillion.trace.fastq,FastqFileReader,138,252,28,18,2,69,21,16,1,13
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.NoMementoCallback,7,4,0,0,2,2,2,1,2,1
Jillion,org.jcvi.jillion.trace.fastq,IndexedFastqFileDataStore,3,14,0,0,1,3,1,1,1,1
Jillion,org.jcvi.jillion.trace.fastq,FastqRecordBuilder,0,16,0,0,0,2,0,2,0,2
Jillion,org.jcvi.jillion.trace.fastq,FastqRecordBuilderImpl,98,105,1,11,24,26,10,9,9,4
Jillion,org.jcvi.jillion.trace.fastq,UncommentedFastqRecord,79,60,9,9,18,20,11,6,2,6
Jillion,org.jcvi.jillion.trace.fastq,FastqWriter,667,339,122,32,29,60,81,15,4,15
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.NoLambdaFastqIdIterator,6,18,0,0,2,5,0,2,0,2
Jillion,org.jcvi.jillion.trace.fastq,FastqUtil.FastqQualityCodecDetectorRecordVisitor,45,156,7,31,9,39,9,17,2,5
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.MementoCallback,0,11,0,0,0,4,0,3,0,3
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser,68,356,8,42,13,85,8,28,0,11
Jillion,org.jcvi.jillion.trace.fastq,FastqWriterBuilder,67,182,8,14,11,50,11,14,3,11
Jillion,org.jcvi.jillion.trace.fastq,FastqUtil.MixedFastqEncodings,24,0,0,0,2,0,1,0,1,0
Jillion,org.jcvi.jillion.trace.fastq,FastqQualityCodec,11,120,0,4,1,22,3,10,3,8
Jillion,org.jcvi.jillion.trace.fastq,AbstractFastqVisitor,2,5,0,0,1,3,1,3,1,3
Jillion,org.jcvi.jillion.trace.fastq,FastqFileDataStoreBuilder.new Object() {...},3,23,0,0,0,1,0,1,0,1
Jillion,org.jcvi.jillion.trace.fastq,SolexaUtil,3,143,0,20,1,31,1,15,1,5
Jillion,org.jcvi.jillion.trace.fastq,IndexedFastqFileDataStore.IndexedFastqFileDataStoreImpl.new StreamingIterator() {...},35,0,0,0,8,0,5,0,5,0
Jillion,org.jcvi.jillion.trace.fastq,IndexedFastqFileDataStore.IndexedFastqFileDataStoreImpl.SingleFastqRecordVistior,0,24,0,0,0,5,0,4,0,4
Jillion,org.jcvi.jillion.trace.fastq,FastqUtil,30,110,3,19,7,34,4,14,1,6
Jillion,org.jcvi.jillion.trace.fastq,FastqRecord,5,8,0,0,1,2,1,2,1,2
Jillion,org.jcvi.jillion.trace.fastq,FastqFileDataStore,22,22,0,0,7,4,2,3,2,3
Jillion,org.jcvi.jillion.trace.fastq,DefaultFastqFileDataStore.DefaultFastqFileDataStoreBuilderVisitor2,11,54,2,4,3,14,3,5,1,4
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.AbstractFastqVisitorCallback,0,13,0,0,0,6,0,3,0,3
Jillion,org.jcvi.jillion.trace.fastq,IndexedFastqFileDataStore.IndexedFastqFileDataStoreImpl.SingleFastqRecordVistior.new AbstractFastqRecordVisitor() {...},0,20,0,0,0,4,0,2,0,2
Jillion,org.jcvi.jillion.trace.fastq,AbstractFastqRecordVisitor,0,96,0,4,0,26,0,9,0,7
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore,120,194,25,23,10,54,21,17,2,12
Jillion,org.jcvi.jillion.trace.fastq,FastqWriterBuilder.FastqRecordWriterImpl,2,458,1,43,1,97,1,32,0,11
Jillion,org.jcvi.jillion.trace.fastq,FastqWriterAdapter,0,30,0,2,0,10,0,4,0,3
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.OffsetMemento,48,34,8,6,11,8,8,4,3,2
Jillion,org.jcvi.jillion.trace.fastq,FastqWriter.1.new FastqRecordVisitor() {...},11,36,0,0,5,8,2,4,2,4
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.LongWidthOffsetMemento,9,0,0,0,4,0,2,0,2,0
Jillion,org.jcvi.jillion.trace.fastq,DefaultFastqFileDataStore,3,18,0,0,2,4,1,1,1,1
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.ByteWidthOffsetMemento,0,13,0,0,0,4,0,2,0,2
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.InputStreamFastqFileParser,26,49,3,3,7,13,7,4,4,4
Jillion,org.jcvi.jillion.trace.fastq,InMemorySortedFastqWriter,10,82,1,5,1,25,1,8,0,6
Jillion,org.jcvi.jillion.trace.fastq,FastqFileDataStoreImpl,8,52,0,0,2,16,2,9,2,9
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParserBuilder,24,50,1,1,7,16,2,6,1,6
Jillion,org.jcvi.jillion.trace.fastq,IndexedFastqFileDataStore.IndexedFastqFileDataStoreImpl,34,116,1,3,10,34,4,11,3,10
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.LambdaFilteredFastqIdIterator,20,0,0,0,7,0,4,0,4,0
Jillion,org.jcvi.jillion.trace.fastq,IndexedFastqFileDataStore.MementoedFastqDataStoreBuilderVisitor.new AbstractFastqRecordVisitor() {...},0,31,0,2,0,4,0,3,0,2
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.Defline,20,39,2,2,2,11,2,4,0,4
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.LargeFastqFileIterator.1.new AbstractFastqRecordVisitor() {...},0,41,0,6,0,6,0,5,0,2
Jillion,org.jcvi.jillion.trace.fastq,FastqFileReader.Results,5,18,0,0,2,7,1,4,1,4
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.LargeFastqFileIterator.new FastqVisitor() {...},4,34,1,3,2,7,1,5,0,4
Jillion,org.jcvi.jillion.trace.fastq,FastqQualityCodec.new FastqQualityCodec() {...},41,7,2,0,8,1,4,1,3,1
Jillion,org.jcvi.jillion.trace.fastq,SplitFastqWriter.DeconvolutionFastqWriter,21,94,1,7,7,29,2,9,1,6
Jillion,org.jcvi.jillion.trace.fastq,FastqWriter.new AbstractFastqVisitor() {...},7,45,1,3,1,9,1,3,0,2
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.IntWidthOffsetMemento,4,7,0,0,1,3,1,1,1,1
Jillion,org.jcvi.jillion.trace.fastq,SplitFastqWriter.RoundRobinSplitFastqWriter,20,98,2,8,5,25,4,8,2,5
Jillion,org.jcvi.jillion.trace.fastq,FastqFileParser.FileBasedFastqFileParser,60,112,13,11,3,24,11,9,0,8
Jillion,org.jcvi.jillion.trace.fastq,FastqUtil.FastqQualityCodecDetectorVisitor,5,34,1,1,3,10,2,4,1,4
Jillion,org.jcvi.jillion.trace.fastq,LargeFastqFileDataStore.1.new AbstractFastqRecordVisitor() {...},3,35,0,4,1,6,0,4,0,2
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.FileBasesSffParser,58,109,7,9,8,28,8,6,1,5
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.InputStreamBasedSffParser.new SffVisitorCallback() {...},20,0,0,0,5,0,4,0,4,0
Jillion,org.jcvi.jillion.trace.sff,LargeSffFileDataStore.SffFileIdIterator.new SffVisitor() {...},0,23,1,1,0,7,1,4,0,4
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.FileBasesSffParser.new SffVisitorCallback() {...},6,13,0,0,2,3,2,2,2,2
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.FileBasesSffParser.new SffVisitorCallback() {...},2,25,0,0,1,4,1,3,1,3
Jillion,org.jcvi.jillion.trace.sff,CompletelyParsedIndexedSffFileDataStore.SingleRecordVisitor.new SffFileReadVisitor() {...},0,25,0,0,0,5,0,3,0,3
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.AbstractSffFileMemento,0,9,0,0,0,4,0,2,0,2
Jillion,org.jcvi.jillion.trace.sff,DefaultSffReadDataDecoder,92,74,0,0,18,15,3,3,3,3
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.ReadRecordSffFileMemento,0,7,0,0,0,3,0,1,0,1
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.BeginningSffFileMomento,4,0,0,0,2,0,1,0,1,0
Jillion,org.jcvi.jillion.trace.sff,DefaultSFFCommonHeaderDecoder,151,199,6,6,36,48,9,11,6,8
Jillion,org.jcvi.jillion.trace.sff,DefaultSffReadHeaderDecoder,101,165,3,9,23,38,6,9,4,5
Jillion,org.jcvi.jillion.trace.sff,Sff454NameUtil,83,183,10,10,10,40,13,9,3,9
Jillion,org.jcvi.jillion.trace.sff,SffFileDataStoreBuilder.new Object() {...},3,23,0,0,0,1,0,1,0,1
Jillion,org.jcvi.jillion.trace.sff,LargeSffFileDataStore,57,154,5,9,13,45,9,12,4,10
Jillion,org.jcvi.jillion.trace.sff,SffWriterUtil,53,249,0,4,13,52,4,6,4,4
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.InputStreamBasedSffParser,47,0,2,0,12,0,8,0,7,0
Jillion,org.jcvi.jillion.trace.sff,DefaultSffFileDataStore.Visitor,2,32,1,1,1,8,1,4,0,4
Jillion,org.jcvi.jillion.trace.sff,CompletelyParsedIndexedSffFileDataStore.SingleRecordVisitor,2,13,0,0,2,3,2,3,2,3
Jillion,org.jcvi.jillion.trace.sff,CompletelyParsedIndexedSffFileDataStore.DataStoreImpl.new StreamingIterator() {...},39,0,0,0,8,0,5,0,5,0
Jillion,org.jcvi.jillion.trace.sff,CompletelyParsedIndexedSffFileDataStore.DataStoreImpl,45,91,4,4,13,30,8,8,4,8
Jillion,org.jcvi.jillion.trace.sff,SffFileIterator,6,35,0,0,2,12,0,4,0,4
Jillion,org.jcvi.jillion.trace.sff,SffWriterBuilder,25,49,5,5,5,15,5,4,0,4
Jillion,org.jcvi.jillion.trace.sff,SffFileParser.ParserState,0,50,0,0,0,14,0,6,0,6
Jillion,org.jcvi.jillion.trace.sff,LargeSffFileDataStore.SingleFlowgramVisitor.new SffFileReadVisitor() {...},0,25,0,0,0,5,0,3,0,3
Jillion,org.jcvi.jillion.trace.sff,SffFileIterator.new SffVisitor() {...},2,21,1,1,1,5,1,4,0,4
Jillion,org.jcvi.jillion.trace.sff,DefaultSffReadData,1,215,4,16,0,45,4,17,0,11
Jillion,org.jcvi.jillion.trace.sff,Sff454NameUtil.Base36Encoder,9,139,0,10,0,20,2,10,2,5
Jillion,org.jcvi.jillion.trace.sff,CompletelyParsedIndexedSffFileDataStore,3,21,0,0,2,5,1,2,1,2
Jillion,org.jcvi.jillion.trace.sff,ManifestIndexed454SffFileDataStore.ManifestCreatorVisitor,65,204,5,15,11,54,7,11,2,6
Jillion,org.jcvi.jillion.trace.sff,SffUtil,90,229,8,6,23,35,8,11,4,8
Jillion,org.jcvi.jillion.trace.sff,SffDataStoreBuilder.DefaultSffFileDataStore,8,45,0,0,2,14,2,9,2,9
Jillion,org.jcvi.jillion.trace.sff,DefaultSffCommonHeader.Builder,42,76,1,3,14,18,5,7,4,6
Jillion,org.jcvi.jillion.trace.sff,SffFlowgramImpl,19,316,6,26,3,78,7,26,1,16
Jillion,org.jcvi.jillion.trace.sff,DefaultSffReadHeader,0,122,0,18,0,28,0,16,0,7
Jillion,org.jcvi.jillion.trace.sff,CompletelyParsedIndexedSffFileDataStore.Visitor,0,53,1,1,0,12,1,5,0,5
Jillion,org.jcvi.jillion.trace.sff,DefaultSffCommonHeader,39,180,1,23,1,38,2,20,1,9
Jillion,org.jcvi.jillion.trace.sff,SffUtil.Linkers,9,51,0,0,0,10,2,4,2,4
Jillion,org.jcvi.jillion.trace.sff,LargeSffFileDataStore.new StreamingIterator() {...},39,0,0,0,8,0,5,0,5,0
Jillion,org.jcvi.jillion.trace.sff,LargeSffFileDataStore.SffFileIdIterator,6,31,0,0,2,11,0,3,0,3
Jillion,org.jcvi.jillion.trace.sff,SffDecoderException,0,9,0,0,0,4,0,2,0,2
Jillion,org.jcvi.jillion.trace.sff,ManifestIndexed454SffFileDataStore,65,192,3,5,14,50,4,15,1,14
Jillion,org.jcvi.jillion.trace.sff,DefaultSffFileDataStore,3,19,0,0,2,5,1,2,1,2
Jillion,org.jcvi.jillion.trace.sff,Sff454NameUtil.RigRun,12,93,1,3,1,21,1,7,0,6
Jillion,org.jcvi.jillion.trace.sff,Sff454NameUtil.DateEncoder,9,179,0,0,0,41,2,4,2,4
Jillion,org.jcvi.jillion.trace.sff,SffDataStoreBuilder,38,40,6,2,11,11,5,3,1,3
Jillion,org.jcvi.jillion.trace.sff,DefaultSffFileDataStore.Visitor.new SffFileReadVisitor() {...},0,20,0,0,0,4,0,3,0,3
Jillion,org.jcvi.jillion.trace.sff,LargeSffFileDataStore.HeaderVisitor,3,12,0,0,2,5,2,3,2,3
Jillion,org.jcvi.jillion.trace.sff,SffFileParser,5,167,0,8,1,39,1,9,1,5
Jillion,org.jcvi.jillion.trace.sff,LargeSffFileDataStore.SingleFlowgramVisitor,0,29,0,2,0,10,0,6,0,5
Jillion,org.jcvi.jillion.trace.sff,Sff454NameUtil.Location,107,79,12,8,26,21,14,5,4,5
Jillion,org.jcvi.jillion.trace.sff,SffWriterBuilder.SffWriterImpl,11,252,3,11,2,57,3,11,0,7
Jillion,org.jcvi.jillion.trace.sff,SffFileDataStoreBuilder,51,58,8,8,10,18,8,6,1,4
Jillion,org.jcvi.jillion.trace.sff,SffFileIterator.1.new SffFileReadVisitor() {...},0,19,0,0,0,4,0,3,0,3
Jillion,org.jcvi.jillion.trace.sff,DefaultSffReadHeader.Builder,36,0,0,0,9,0,3,0,3,0
Jillion,org.jcvi.jillion.core.residue,ResidueSequence,42,72,5,17,10,19,5,11,2,3
Jillion,org.jcvi.jillion.core.residue,Frame,71,252,15,19,13,46,13,20,3,12
Jillion,org.jcvi.jillion.core.residue,Frame.new Frame() {...},2,7,0,0,1,1,1,1,1,1
Jillion,org.jcvi.jillion.core.residue,Frame.new Frame() {...},2,7,0,0,1,1,1,1,1,1
Jillion,org.jcvi.jillion.core.residue,Frame.new Iterator() {...},4,38,1,3,1,8,1,4,0,3
Jillion,org.jcvi.jillion.core.residue,Frame.new Frame() {...},2,7,0,0,1,1,1,1,1,1
Jillion,org.jcvi.jillion.core.residue,Frame.new Object() {...},4,29,0,0,0,1,0,1,0,1
Jillion,org.jcvi.jillion.core.residue,KmerSpliterator,5,130,2,12,1,24,2,9,0,4
Jillion,org.jcvi.jillion.core.residue,Kmer,77,40,8,6,14,12,11,2,4,2
Jillion,org.jcvi.jillion.internal.align,AbstractSequenceAlignmentBuilder.AbstractSequenceAlignmentImpl,89,222,23,23,16,56,20,15,1,11
Jillion,org.jcvi.jillion.internal.align,AbstractSequenceAlignmentBuilder,20,294,1,15,2,63,1,20,0,13
Jillion,org.jcvi.jillion.internal.align,NucleotideSequenceAlignmentBuilder,3,61,0,0,1,17,1,10,1,10
Jillion,org.jcvi.jillion.internal.align,ProteinSequenceAlignmentBuilder,4,73,0,0,2,20,1,12,1,12
Jillion,org.jcvi.jillion.internal.align,NucleotideSequenceAlignmentBuilder.NucleotideSequenceAlignmentImpl,0,15,0,0,0,3,0,1,0,1
Jillion,org.jcvi.jillion.internal.align,ProteinSequenceAlignmentBuilder.AminoAcidSequenceAlignmentImpl,0,15,0,0,0,3,0,1,0,1
Jillion,org.jcvi.jillion.sam.cigar,Cigar.new Object() {...},12,81,0,0,0,2,0,1,0,1
Jillion,org.jcvi.jillion.sam.cigar,Cigar.ClipType,5,43,0,0,0,4,1,3,1,3
Jillion,org.jcvi.jillion.sam.cigar,Cigar,329,573,61,72,89,143,59,64,5,20
Jillion,org.jcvi.jillion.sam.cigar,Cigar.Builder,10,187,2,26,2,36,2,20,0,8
Jillion,org.jcvi.jillion.sam.cigar,Cigar.PrimitiveCharIterator,5,38,1,3,1,9,1,5,0,4
Jillion,org.jcvi.jillion.sam.cigar,CigarElement,10,74,2,12,2,25,2,10,0,5
Jillion,org.jcvi.jillion.sam.cigar,CigarOperation,5,188,2,6,0,31,3,10,1,8
Jillion,org.jcvi.jillion.internal.core.datastore,AbstractMapBackedDataStore,39,36,0,0,10,9,5,6,5,6
Jillion,org.jcvi.jillion.internal.core.datastore,DataStoreStreamingIterator,4,52,0,4,2,15,1,8,1,6
Jillion,org.jcvi.jillion.internal.core.datastore,DataStoreIterator,0,52,0,0,0,16,0,5,0,5
Jillion,org.jcvi.jillion.internal.core.datastore,AbstractDataStore,15,55,3,5,4,21,4,10,1,9
Jillion,org.jcvi.jillion.internal.fasta.nt,AdaptedNucleotideFastaDataStore,4,10,0,0,1,4,1,2,1,2
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileWriterBuilder,17,52,2,4,4,16,2,5,0,4
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.ContigState,36,160,9,18,12,46,9,17,0,7
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.FileBasedTasmFileParser,57,90,4,4,5,23,5,4,1,4
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser,5,92,0,12,1,30,1,12,1,6
Jillion,org.jcvi.jillion.assembly.tigr.tasm,LargeTasmContigFileDataStore.GetVisitor,1,30,0,2,1,8,1,5,1,4
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmContigFileContigIterator,7,35,0,0,2,12,0,3,0,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmUtil.new ThreadLocal() {...},7,13,0,0,4,3,2,3,2,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,LargeTasmContigFileDataStore.GetVisitor.new AbstractTasmContigBuilderVisitor() {...},0,21,0,0,0,4,0,2,0,2
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmContigAttribute,17,285,1,3,1,32,2,6,1,5
Jillion,org.jcvi.jillion.assembly.tigr.tasm,AbstractTasmContigBuilderVisitor.new TasmContigReadVisitor() {...},28,55,1,1,3,10,1,3,0,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,DefaultTasmFileContigDataStore,3,16,0,0,2,3,1,1,1,1
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.OffsetMementoCallback,0,15,0,0,0,5,0,3,0,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,IndexedTasmFileDataStore,44,84,2,2,11,23,5,8,3,8
Jillion,org.jcvi.jillion.assembly.tigr.tasm,IndexedTasmFileDataStore.IndexVisitor,6,29,2,2,2,9,3,3,1,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmUtil,3,31,0,4,2,7,1,5,1,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmContigFileContigIterator.1.new AbstractTasmContigBuilderVisitor() {...},0,15,0,0,0,3,0,2,0,2
Jillion,org.jcvi.jillion.assembly.tigr.tasm,IndexedTasmFileDataStore.new StreamingIterator() {...},35,0,0,0,8,0,5,0,5,0
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.OffsetMemento,0,9,0,0,0,4,0,2,0,2
Jillion,org.jcvi.jillion.assembly.tigr.tasm,DefaultTasmAssembledRead.Builder,155,84,14,0,45,21,27,12,20,12
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmContigBuilder.DefaultTasmContig,460,165,109,9,96,38,59,21,4,17
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmAssembledReadAdapter,58,41,8,2,19,12,10,9,6,8
Jillion,org.jcvi.jillion.assembly.tigr.tasm,LargeTasmContigFileDataStore.new StreamingIterator() {...},42,0,0,0,8,0,5,0,5,0
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.ParserState,0,181,2,24,0,41,2,19,0,8
Jillion,org.jcvi.jillion.assembly.tigr.tasm,DefaultTasmFileContigDataStore.Visitor,3,29,1,1,2,8,2,3,1,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,LargeTasmContigFileDataStore.ContainsVisitor,26,0,2,0,11,0,6,0,5,0
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileWriterBuilder.TasmFileWriter,0,61,0,4,0,19,0,6,0,4
Jillion,org.jcvi.jillion.assembly.tigr.tasm,LargeTasmContigFileDataStore.IdIterator.new TasmVisitor() {...},1,20,1,1,1,5,2,3,1,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.NoMementoCallback,11,0,0,0,3,0,3,0,3,0
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.AbstractCallback,0,13,0,0,0,5,0,3,0,3
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmFileParser.ReadState,0,40,0,6,0,14,0,7,0,2
Jillion,org.jcvi.jillion.assembly.tigr.tasm,LargeTasmContigFileDataStore.SizeVisitor,1,27,1,1,1,7,2,4,1,4
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmContigBuilder,144,197,14,16,38,55,16,17,5,13
Jillion,org.jcvi.jillion.assembly.tigr.tasm,TasmReadAttribute,17,164,1,3,1,21,2,6,1,5
Jillion,org.jcvi.jillion.assembly.tigr.tasm,DefaultTasmAssembledRead,72,44,14,0,22,11,13,9,6,9
